run_id,epochs,lr,batch_size,window_size,hidden_dim,fc_dim,num_layers_lstm,loop_type,c_mse,c_mae,T_PM_mse,T_PM_mae,d50_mse,d50_mae,d90_mse,d90_mae,d10_mse,d10_mae,T_TM_mse,T_TM_mae
1752705864,50,0.0001,64,15,128,64,2,closed,1.7056869892576473e-08,9.08998374794546e-05,0.01114787973821355,0.07703593897592968,8.524908975745338e-13,6.82483285795069e-07,1.2620492257326643e-12,8.626553702691979e-07,1.1846455763935732e-12,8.18619194830196e-07,0.0127799709581593,0.08426366226387116
1752705864,50,0.0001,64,15,128,64,2,open,1.838043445563405e-06,0.0005830038461272185,1.1810683574648075,0.35998046891727153,4.3753162747306276e-10,1.2589586667615029e-05,2.582378527292601e-09,3.101645052939162e-05,5.736159371570608e-10,1.566483670117793e-05,1.156906818023352,0.3590994137037502
1752706034,50,0.0001,64,20,128,64,2,closed,1.3786591867757843e-08,7.266245607414517e-05,0.010960703061503941,0.07097468595124641,1.1550583969986778e-12,8.208945078955831e-07,1.3178227709947274e-12,8.553914805392847e-07,1.5953672723664802e-12,1.022990918989747e-06,0.014166424956601276,0.07779962233845746
1752706034,50,0.0001,64,20,128,64,2,open,3.221218231959178e-06,0.0006886620055052877,3.817734630032308,0.6438265168630298,2.2280718064637774e-09,2.194291244778481e-05,6.92856678908541e-09,4.298464001504051e-05,7.513087467055371e-10,1.8913247136152583e-05,3.3289449782177214,0.6001618863568876
1752706202,50,0.0005,64,5,128,64,2,closed,1.3116227874531555e-08,7.824635087161493e-05,0.007860778603142124,0.0637319357164344,6.801298419543272e-13,6.211916919010155e-07,1.266474142570384e-12,9.209716298841284e-07,8.731545916157729e-13,7.253122723963298e-07,0.008596239226493625,0.05876656147035653
1752706202,50,0.0005,64,5,128,64,2,open,7.486100891974892e-07,0.0004817427216761161,0.2823177570216502,0.2728428992263835,2.8830955379834655e-10,1.308875899025947e-05,1.3892592328823322e-09,3.173226946464337e-05,4.080625325670819e-10,1.6380111921830327e-05,0.2742682676962057,0.27563341170844013
1752706369,50,0.0005,64,10,128,64,2,closed,1.0296568598836487e-08,7.519426472261759e-05,0.005362759818791562,0.050022662473581704,5.025861644024605e-13,5.285766801335956e-07,6.150685412611851e-13,6.094317104318578e-07,5.849422869211667e-13,5.698014428714531e-07,0.006190166959771468,0.053698550692552034
1752706369,50,0.0005,64,10,128,64,2,open,7.058958276418714e-06,0.0010611640725709567,4.397885273790058,0.7779033241489695,3.890511682130566e-09,3.092814371024675e-05,5.907898732227117e-09,3.871760475406969e-05,2.449327943706746e-09,2.9364047026942347e-05,3.84572605079743,0.6665564671938364
1752706536,50,0.0005,64,15,128,64,2,closed,1.5980117065569352e-08,9.638408301509571e-05,0.00794217833303655,0.06333153586236553,7.079098340953941e-13,6.264400985410868e-07,1.2076830178826594e-12,7.563615885994186e-07,1.1093276098149062e-12,8.423568690896863e-07,0.009038278448833518,0.06543275463234277
1752706536,50,0.0005,64,15,128,64,2,open,3.877318072277573e-06,0.0009316105160283863,0.8979750213544719,0.4214265857712462,1.8211105245458118e-09,2.405363357091474e-05,1.148171218734168e-09,2.3291254664270057e-05,2.2022783065265847e-09,3.107141061118316e-05,0.8478553749208508,0.376257265287102
1752706703,50,0.0005,64,20,128,64,2,closed,2.995188288187278e-08,0.0001456426316131266,0.006629666044989235,0.05382722582320132,1.4213934857872931e-12,7.770685507968977e-07,1.86765581737546e-12,1.0265568236129588e-06,6.789387702590411e-13,6.296950966299894e-07,0.0078404616139568,0.05961610726573484
1752706703,50,0.0005,64,20,128,64,2,open,3.941129816155369e-05,0.004793383379944486,70.8283421419251,6.392393363102963,6.019668792389987e-08,0.0002099050807704001,7.87719121275975e-08,0.00023985991482638712,2.425040321333626e-09,4.114308351547975e-05,65.42103676039655,6.0829321657121
1752706873,50,0.001,64,5,128,64,2,closed,1.1773580545274547e-08,7.484904466856201e-05,0.00706808800444308,0.059741652643708,1.009893508988348e-12,7.482953152385608e-07,1.382535817731149e-12,9.177132729658315e-07,9.77449648630501e-13,7.2467983855717e-07,0.009389492296429587,0.07073658486738567
